#Network|Station|Latitude|Longitude|Elevation|SiteName|StartTime|EndTime
ES|EMOS|40.3639|-0.4721|1694.0|Mosqueruela (Teruel),Spain|2000-12-22T00:00:00|
ES|EMUR|37.8422|-1.2405|574.0|Murcia (Murcia),Spain|2000-01-15T00:00:00|
ES|ENIJ|36.9715|-2.207|440.0|Nijar (Almeria),Spain|1986-01-01T00:00:00|
ES|EORO|42.891547|-1.310966|850.0|Oroz Betelu (Navarra/Nafarroa),Spain|2007-04-27T00:00:00|
ES|EOSO|28.0718|-15.5525|760.0|Teror (Gran Canaria),Spain|2002-01-17T00:00:00|
ES|EPLA|40.0629|-6.0816|590.0|Plasencia (Caceres),Spain|1985-08-29T00:00:00|
ES|EPOB|41.3527|1.0786|890.0|Vimbodi (Tarragona),Spain|2001-09-21T00:00:00|
ES|EPON|43.327|-7.1494|440.0|A Pontenova (Lugo),Spain|2001-11-08T00:00:00|
ES|EPUL|37.382378|-1.70147|150.0|Pulpi (Almeria),Spain|2026-02-03T12:00:00|
ES|EQES|37.8028|-3.0711|1140.0|Quesada (Jaen),Spain|2001-06-19T00:00:00|
ES|EQTA|37.205|-3.4399|1100.0|Quentar (Granada),Spain|2005-08-03T06:08:20|
ES|ERIP|37.373|-7.255|82.0|Embalse de Piedras (Cartaya - Huelva),Spain|2001-11-11T00:00:00|2008-05-26T00:00:00
ES|ERTA|40.9567|0.3335|547.0|Horta de Sant Joan (Tarragona),Spain|2000-02-03T00:00:00|
ES|ERUA|42.39266|-7.14249|431.0|A Rua (Ourense),Spain|1987-02-12T00:00:00|2009-07-20T00:00:00
ES|ES01|39.6702|-3.9475|743.8|Sonseca array element 01 (Toledo),Spain|2002-01-24T00:00:00|
ES|ES02|39.6771|-3.9355|734.5|Sonseca array element 02 (Toledo),Spain|2002-01-24T00:00:00|
ES|ES03|39.6663|-3.9334|732.6|Sonseca array element 03 (Toledo),Spain|2002-01-24T00:00:00|
ES|ES04|39.6558|-3.9423|740.9|Sonseca array element 04 (Toledo),Spain|2002-01-24T00:00:00|
ES|ES05|39.6624|-3.959|763.0|Sonseca array element 05 (Toledo),Spain|2002-01-24T00:00:00|
ES|ES06|39.6757|-3.9521|745.8|Sonseca array element 06 (Toledo),Spain|2002-01-24T00:00:00|
ES|ES07|39.6873|-3.9519|734.5|Sonseca array element 07 (Toledo),Spain|2002-01-24T00:00:00|
ES|ES08|39.6923|-3.9251|721.5|Sonseca array element 08 (Toledo),Spain|2002-01-24T00:00:00|
ES|ES09|39.6781|-3.8996|753.1|Sonseca array element 09 (Toledo),Spain|2002-01-24T00:00:00|
ES|ES10|39.658|-3.9025|758.2|Sonseca array element 10 (Toledo),Spain|2002-01-24T00:00:00|
ES|ES11|39.6487|-3.92|758.2|Sonseca array element 11 (Toledo),Spain|2002-01-24T00:00:00|
ES|ES12|39.6387|-3.9429|761.1|Sonseca array element 12 (Toledo),Spain|2002-01-24T00:00:00|
ES|ES13|39.6501|-3.966|762.5|Sonseca array element 13 (Toledo),Spain|2002-01-24T00:00:00|
ES|ES14|39.6518|-3.9885|779.7|Sonseca array element 14 (Toledo),Spain|2002-01-24T00:00:00|
ES|ES15|39.6642|-4.0004|776.1|Sonseca array element 15 (Toledo),Spain|2002-01-24T00:00:00|
ES|ES16|39.6868|-3.9943|775.4|Sonseca array element 16 (Toledo),Spain|2002-01-24T00:00:00|
ES|ES17|39.7004|-3.9728|766.6|Sonseca array element 17 (Toledo),Spain|2002-01-24T00:00:00|
ES|ES18|39.7102|-3.9493|750.1|Sonseca array element 18 (Toledo),Spain|2002-01-24T00:00:00|
ES|ES19|39.7006|-3.8991|720.8|Sonseca array element 19 (Toledo),Spain|2002-01-24T00:00:00|
ES|ESAC|41.7219|-0.4693|815.0|Farlete (Zaragoza),Spain|2000-11-24T00:00:00|
ES|ESBB|39.6744|-3.963|755.0|Sonseca array element BB0 (Toledo),Spain|2002-01-17T00:00:00|
ES|ESBB1|39.6743|-3.963|755.0|Sonseca array element BB1 (Toledo),Spain|2014-03-27T13:06:30|
ES|ESPR|36.8686|-5.8562|135.0|Espera (Cadiz),Spain|2002-06-25T00:00:00|
ES|ETOB|38.6447|-1.5478|855.0|Tobarra (Albacete),Spain|2000-09-27T00:00:00|
ES|ETOS|39.7678|2.8144|480.0|Escorca (Mallorca),Spain|2002-05-23T00:00:00|
ES|ETRV|38.020314|-0.762707|39.0|Los Montesinos (Alicante),Spain|2012-12-11T00:00:00|
ES|EVIV|39.2669|-1.1184|609.0|Cofrentes (Valencia),Spain|2014-12-09T12:00:00|
ES|EXAA2|36.9609|-2.5697|491.0|Alhama de Almeria (Almeria),Spain|2024-02-05T00:00:00|
ES|EXAD|36.7499|-3.0133|12.0|Adra (Almeria),Spain|2023-12-27T00:00:00|
ES|EXAGE|36.1324|-5.4489|36.0|Algeciras (Cadiz),Spain|2016-06-29T00:00:00|
ES|EXAGI|37.4138|-1.5917|23.0|Aguilas (Murcia),Spain|2013-10-03T00:00:00|
ES|EXAGR|37.0303|-3.8348|1057.0|Agron (Granada),Spain|2009-11-03T00:00:00|
ES|EXAHM|37.8415|-1.4344|200.0|Alhama de Murcia (Murcia),Spain|2009-02-11T00:00:00|
ES|EXALB|37.2304|-3.6561|649.0|Albolote (Granada),Spain|2007-11-21T00:00:00|
